date,open,gap,hod,low,close,eodVolume,pmVolume,floatShares,marketCap,hodTime,lodTime,openPush,hodToClose,closedRed
4/7/2021,$5.81 ,15.05%,$5.81 ,$5.04 ,$5.15 ,"15,000,000","3,000,000","41,000,000","$238,210,000 ",9:30:00 AM,10:15:00 AM,0.00%,-11.36%,yes
4/7/2021,$2.29 ,27.93%,$2.45 ,$1.96 ,$2.03 ,"36,000,000","6,500,000","100,000,000","$229,000,000 ",9:31:00 AM,2:00:00 PM,6.99%,-17.14%,yes
4/7/2021,$2.86 ,30.00%,$2.98 ,$2.10 ,$2.22 ,"58,000,000","11,000,000","18,000,000","$51,480,000 ",9:31:00 AM,3:14:00 PM,4.20%,-25.50%,yes
4/8/2021,$5.98 ,9.72%,$6.19 ,$4.80 ,$5.18 ,"2,200,000","400,000","2,300,000","$13,754,000 ",9:35:00 AM,1:43:00 PM,3.51%,-16.32%,yes
4/8/2021,$3.64 ,13.75%,$3.65 ,$3.32 ,$3.53 ,"14,000,000","4,300,000","61,500,000","$223,860,000 ",9:31:00 AM,10:02:00 AM,0.27%,-3.29%,yes
4/8/2021,$2.20 ,17.65%,$2.54 ,$1.93 ,$2.06 ,"14,500,000","1,100,000","20,000,000","$44,000,000 ",9:36:00 AM,1:42:00 PM,15.45%,-18.90%,yes
4/8/2021,$1.67 ,21.01%,$1.80 ,$1.52 ,$1.60 ,"83,500,000","7,400,000","23,000,000","$38,410,000 ",9:38:00 AM,9:52:00 AM,7.78%,-11.11%,yes
4/8/2021,$7.37 ,24.92%,$7.80 ,$6.75 ,$7.45 ,"4,600,000","890,000","3,600,000","$26,532,000 ",9:48:00 AM,11:33:00 AM,5.83%,-4.49%,no
4/8/2021,$14.24 ,40.99%,$15.91 ,$13.15 ,$15.35 ,"118,000,000","9,200,000","17,500,000","$249,200,000 ",11:01:00 AM,10:20:00 AM,11.73%,-3.52%,no
4/8/2021,$15.37 ,46.38%,$22.03 ,$13.85 ,$14.59 ,"44,000,000","2,100,000","1,900,000","$29,203,000 ",10:11:00 AM,3:00:00 PM,43.33%,-33.77%,yes
4/9/2021,$1.54 ,7.69%,$1.59 ,$1.40 ,$1.47 ,"13,000,000","1,400,000","4,200,000","$6,468,000 ",12:16:00 PM,3:20:00 PM,3.25%,-7.55%,yes
4/9/2021,$0.72 ,15.66%,$0.77 ,$0.61 ,$0.64 ,"259,000,000","14,000,000","425,000,000","$306,000,000 ",9:56:00 AM,2:04:00 PM,6.77%,-16.88%,yes
4/9/2021,$2.09 ,18.08%,$2.47 ,$2.03 ,$2.12 ,"65,700,000","2,500,000","12,000,000","$25,080,000 ",9:38:00 AM,9:30:00 AM,18.18%,-14.17%,no
4/9/2021,$5.60 ,19.91%,$5.63 ,$4.85 ,$5.10 ,"5,000,000","2,100,000","6,400,000","$35,840,000 ",9:31:00 AM,3:59:00 PM,0.54%,-9.41%,yes
4/9/2021,$10.35 ,31.18%,$10.70 ,$9.23 ,$9.73 ,"80,000,000","8,500,000","98,000,000","$1,014,300,000 ",9:38:00 AM,2:02:00 PM,3.38%,-9.07%,yes
4/9/2021,$22.50 ,57.45%,$24.25 ,$19.04 ,$21.75 ,"16,000,000","2,400,000","5,000,000","$112,500,000 ",10:42:00 AM,1:48:00 PM,7.78%,-10.31%,yes
